CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,V_K,veronique_eng_214,maureen_fr_98,remi_fr_93,veronique,maureen,remi,triplet16,IH,Y,Y,VIHK,VYK,VYK,0.4579506739324724,0.3053162635026338
A,Z_SH,maureen_fr_22,veronique_eng_94,jeremy_eng_97,maureen,veronique,jeremy,triplet17,U,AH,AH,ZUSH,ZAHSH,ZAHSH,0.3386345861647586,0.23473417285711018
B,Z_F,veronique_eng_219,maureen_fr_169,marc_fr_159,veronique,maureen,marc,triplet18,IH,A,A,ZIHF,ZAF,ZAF,0.3784428828511047,0.3529528571508201
B,Z_V,veronique_fr_164,maureen_eng_23,jeremy_eng_23,veronique,maureen,jeremy,triplet19,A,UH,UH,ZAV,ZUHV,ZUHV,0.39095036057803373,0.37464794144403113
A,Z_B,maureen_eng_4,veronique_fr_82,marc_fr_77,maureen,veronique,marc,triplet20,UH,Y,Y,ZUHB,ZYB,ZYB,0.31386095983788315,0.3003661242032523
A,SH_S,maureen_fr_126,veronique_eng_54,jeremy_eng_57,maureen,veronique,jeremy,triplet21,Y,AE,AE,SHYS,SHAES,SHAES,0.3617545023883887,0.18898050036163225
B,V_SH,veronique_eng_60,maureen_fr_152,marc_fr_142,veronique,maureen,marc,triplet22,AE,OE,OE,VAESH,VOESH,VOESH,0.32759175215911784,0.34874568468700984
B,Z_D,veronique_fr_69,maureen_eng_68,jeremy_eng_68,veronique,maureen,jeremy,triplet23,I,AH,AH,ZID,ZAHD,ZAHD,0.3361887289940607,0.3129686759328622
A,Z_D,veronique_eng_36,maureen_fr_40,remi_fr_39,veronique,maureen,remi,triplet24,AE,E,E,ZAED,ZED,ZED,0.33900459856548126,0.3531706689536681
A,Z_B,veronique_fr_208,maureen_eng_215,jeremy_eng_215,veronique,maureen,jeremy,triplet25,A,IH,IH,ZAB,ZIHB,ZIHB,0.34715025144693523,0.30254589950077526
B,Z_B,veronique_eng_204,maureen_fr_4,remi_fr_4,veronique,maureen,remi,triplet26,IH,U,U,ZIHB,ZUB,ZUB,0.36510634253120605,0.3945605440416149
B,V_G,veronique_fr_47,maureen_eng_76,ewan_eng_77,veronique,maureen,ewan,triplet27,E,AH,AH,VEG,VAHG,VAHG,0.34992914529028546,0.2425852012376299
A,Z_F,veronique_eng_219,maureen_fr_157,remi_fr_148,veronique,maureen,remi,triplet28,IH,O,O,ZIHF,ZOF,ZOF,0.3571788021637764,0.28210896756970594
A,F_P,veronique_fr_181,maureen_eng_71,ewan_eng_72,veronique,maureen,ewan,triplet29,OE,AH,AH,FOEP,FAHP,FAHP,0.29178653326493326,0.33162063229693817
B,Z_D,veronique_eng_65,maureen_fr_184,marc_fr_175,veronique,maureen,marc,triplet30,AH,OE,OE,ZAHD,ZOED,ZOED,0.3562624598877257,0.4403926429990522
B,Z_V,veronique_fr_134,maureen_eng_100,jeremy_eng_98,veronique,maureen,jeremy,triplet31,OE,AH,AH,ZOEV,ZAHV,ZAHV,0.35530966172556205,0.3497477699509699
A,Z_SH,veronique_eng_48,maureen_fr_105,marc_fr_96,veronique,maureen,marc,triplet32,AE,I,I,ZAESH,ZISH,ZISH,0.3965049922813716,0.30538944004455376
A,V_G,maureen_fr_197,veronique_eng_215,ewan_eng_232,maureen,veronique,ewan,triplet33,OE,IH,IH,VOEG,VIHG,VIHG,0.3871391201202855,0.18511812392867855
B,Z_V,veronique_eng_95,maureen_fr_58,remi_fr_54,veronique,maureen,remi,triplet34,AH,E,E,ZAHV,ZEV,ZEV,0.33654475944222484,0.3500342428441841
B,F_P,veronique_fr_8,maureen_eng_219,jeremy_eng_219,veronique,maureen,jeremy,triplet35,U,IH,IH,FUP,FIHP,FIHP,0.33259596150807463,0.2796407627590176
A,Z_S,maureen_eng_229,veronique_fr_131,marc_fr_126,maureen,veronique,marc,triplet36,IH,OE,OE,ZIHS,ZOES,ZOES,0.37876245371784645,0.2059263694285957
A,V_K,veronique_fr_76,maureen_eng_15,ewan_eng_15,veronique,maureen,ewan,triplet37,I,UH,UH,VIK,VUHK,VUHK,0.4076802567776289,0.34637788021994675
B,Z_G,maureen_eng_66,veronique_fr_67,marc_fr_64,maureen,veronique,marc,triplet38,AH,I,I,ZAHG,ZIG,ZIG,0.3471580502501291,0.3219350026282106
B,V_P,veronique_fr_14,maureen_eng_14,ewan_eng_14,veronique,maureen,ewan,triplet39,U,UH,UH,VUP,VUHP,VUHP,0.3410008808091663,0.3506320198184828
A,Z_V,maureen_eng_52,veronique_fr_151,remi_fr_150,maureen,veronique,remi,triplet40,AE,O,O,ZAEV,ZOV,ZOV,0.4980492393431631,0.3210724561545988
A,V_Z,veronique_fr_145,maureen_eng_54,ewan_eng_61,veronique,maureen,ewan,triplet41,OE,AE,AE,VOEZ,VAEZ,VAEZ,0.2527698208852342,0.23192976805910084
B,V_SH,maureen_eng_236,veronique_fr_64,remi_fr_65,maureen,veronique,remi,triplet42,IH,E,E,VIHSH,VESH,VESH,0.287264520161834,0.19901812608900896
B,V_G,maureen_fr_81,veronique_eng_215,jeremy_eng_226,maureen,veronique,jeremy,triplet43,I,IH,IH,VIG,VIHG,VIHG,0.37035397674722953,0.2788596343531236
A,Z_F,veronique_eng_219,maureen_fr_104,remi_fr_99,veronique,maureen,remi,triplet44,IH,I,I,ZIHF,ZIF,ZIF,0.24011666959998595,0.29177695408516446
A,V_G,maureen_fr_16,veronique_eng_16,jeremy_eng_16,maureen,veronique,jeremy,triplet45,U,UH,UH,VUG,VUHG,VUHG,0.4179259452436241,0.316311647954617
B,Z_F,maureen_eng_50,veronique_fr_113,marc_fr_108,maureen,veronique,marc,triplet46,AE,Y,Y,ZAEF,ZYF,ZYF,0.4390635465834865,0.3074780570669536
B,S_G,maureen_fr_222,veronique_eng_67,jeremy_eng_70,maureen,veronique,jeremy,triplet47,A,AH,AH,SAG,SAHG,SAHG,0.40851007340898526,0.2557941991672912
A,Z_F,veronique_eng_104,maureen_fr_169,remi_fr_161,veronique,maureen,remi,triplet48,AH,A,A,ZAHF,ZAF,ZAF,0.32212933020659995,0.3312111823248947
A,Z_S,maureen_fr_153,veronique_eng_93,ewan_eng_98,maureen,veronique,ewan,triplet49,O,AH,AH,ZOS,ZAHS,ZAHS,0.26367778062312813,0.2367845182729237
B,Z_S,veronique_eng_93,maureen_fr_168,marc_fr_158,veronique,maureen,marc,triplet50,AH,A,A,ZAHS,ZAS,ZAS,0.2738128470814441,0.3485017152413268
B,Z_F,veronique_fr_21,maureen_eng_50,ewan_eng_51,veronique,maureen,ewan,triplet51,U,AE,AE,ZUF,ZAEF,ZAEF,0.34018572009032505,0.2378445320630411
A,SH_S,maureen_eng_117,veronique_fr_31,remi_fr_30,maureen,veronique,remi,triplet52,AH,U,U,SHAHS,SHUS,SHUS,0.38115218359451664,0.29013654467365424
A,Z_G,maureen_fr_183,veronique_eng_3,ewan_eng_3,maureen,veronique,ewan,triplet53,OE,UH,UH,ZOEG,ZUHG,ZUHG,0.3817745743179647,0.17508495244933434
B,Z_V,veronique_eng_49,maureen_fr_106,marc_fr_97,veronique,maureen,marc,triplet54,AE,I,I,ZAEV,ZIV,ZIV,0.4320705849173577,0.44320080366680353
B,V_K,maureen_fr_15,veronique_eng_72,jeremy_eng_74,maureen,veronique,jeremy,triplet55,U,AH,AH,VUK,VAHK,VAHK,0.38216154982669076,0.37820152790671424
A,F_P,veronique_eng_8,maureen_fr_205,marc_fr_199,veronique,maureen,marc,triplet56,UH,O,O,FUHP,FOP,FOP,0.28483238698621394,0.34542585801692194
A,Z_D,veronique_fr_83,maureen_eng_68,ewan_eng_69,veronique,maureen,ewan,triplet57,Y,AH,AH,ZYD,ZAHD,ZAHD,0.33510164306169554,0.21926165479580684
